68.0,1
68.1,0
68.2,0
68.3,0
68.4,1
68.5,1
68.6,0
68.7,2
68.8,1
68.9,0
69.0,4
69.1,7
69.2,4
69.3,8
69.4,17
69.5,25
69.6,25
69.7,34
69.8,36
69.9,54
70.0,73
70.1,79
70.2,117
70.3,143
70.4,163
70.5,180
70.6,169
70.7,201
70.8,251
70.9,246
71.0,273
71.1,263
71.2,246
71.3,295
71.4,257
71.5,266
71.6,238
71.7,226
71.8,207
71.9,201
72.0,169
72.1,155
72.2,129
72.3,173
72.4,114
72.5,86
72.6,93
72.7,68
72.8,74
72.9,54
73.0,45
73.1,45
73.2,34
73.3,23
73.4,20
73.5,19
73.6,16
73.7,12
73.8,10
73.9,11
74.0,9
74.1,8
74.2,8
74.3,5
74.4,2
74.5,4
74.6,1
74.7,1
74.8,0
74.9,4
75.0,0
75.1,1
75.2,0
75.3,1
75.4,0
75.5,0
75.6,0
75.7,0
75.8,0
75.9,0
76.0,0
76.1,0
76.2,0
76.3,1
76.4,0
76.5,0
76.6,0
76.7,0
76.8,0
76.9,0
77.0,0
77.1,0
77.2,0
77.3,0
77.4,0
77.5,0
77.6,0
77.7,0
77.8,1
