68.5,1
68.6,1
68.7,0
68.8,0
68.9,1
69.0,3
69.1,1
69.2,6
69.3,5
69.4,4
69.5,13
69.6,20
69.7,15
69.8,20
69.9,29
70.0,33
70.1,58
70.2,48
70.3,63
70.4,63
70.5,77
70.6,83
70.7,92
70.8,93
70.9,104
71.0,137
71.1,116
71.2,133
71.3,122
71.4,121
71.5,97
71.6,111
71.7,99
71.8,119
71.9,104
72.0,74
72.1,78
72.2,77
72.3,63
72.4,60
72.5,59
72.6,59
72.7,37
72.8,53
72.9,30
73.0,32
73.1,23
73.2,24
73.3,13
73.4,19
73.5,17
73.6,5
73.7,9
73.8,8
73.9,8
74.0,7
74.1,3
74.2,3
74.3,3
74.4,4
74.5,3
74.6,1
74.7,1
74.8,1
74.9,1
75.0,0
75.1,0
75.2,0
75.3,2
75.4,0
75.5,0
75.6,0
75.7,1
75.8,1
