68.8,1
68.9,0
69.0,3
69.1,2
69.2,1
69.3,3
69.4,3
69.5,12
69.6,11
69.7,10
69.8,17
69.9,25
70.0,29
70.1,35
70.2,62
70.3,61
70.4,77
70.5,73
70.6,91
70.7,92
70.8,121
70.9,123
71.0,117
71.1,144
71.2,143
71.3,130
71.4,116
71.5,122
71.6,123
71.7,103
71.8,92
71.9,78
72.0,89
72.1,94
72.2,77
72.3,55
72.4,55
72.5,47
72.6,51
72.7,48
72.8,35
72.9,34
73.0,25
73.1,20
73.2,17
73.3,17
73.4,15
73.5,15
73.6,7
73.7,6
73.8,11
73.9,9
74.0,4
74.1,3
74.2,2
74.3,3
74.4,1
74.5,4
74.6,2
74.7,0
74.8,1
74.9,0
75.0,1
75.1,0
75.2,1
75.3,0
75.4,0
75.5,0
75.6,0
75.7,1
75.8,1
