23,31,70.0,
25,32,70.13,
21,33,70.11,
23,34,70.22,
25,35,69.89,
20,36,69.03,
26,37,70.21,
23,38,69.78,
24,39,70.76,
24,40,70.45,
23,41,71.11,
21,42,72.02,
23,43,71.21,
27,44,70.66,
24,45,70.81,
27,26,71.61,
32,27,71.25,
26,28,71.18,
23,29,71.46,
24,30,71.2,
25,31,70.98,
29,32,71.26,
30,33,70.88,
25,34,70.53,
25,35,70.67,
26,36,71.15,
25,37,70.38,
26,38,71.01,
20,39,69.96,
26,40,69.6,
27,41,70.02,
26,42,70.02,
23,43,70.51,
23,44,70.04,
22,45,70.94,
24,46,70.6,
26,47,70.21,
24,48,70.14,
20,49,70.88,
31,25,71.32,
31,26,70.99,
29,27,71.1,
29,28,70.83,
28,29,70.83,
29,30,70.6,
30,31,70.59,
29,32,70.31,
26,33,71.17,
28,34,70.36,
27,35,71.7,
27,36,71.1,
28,37,70.66,
27,38,70.77,
24,39,70.91,
33,22,71.53,
32,23,70.44,
33,24,71.04,
33,25,70.82,
32,26,71.17,
32,27,71.67,
28,28,70.48,
28,29,71.03,
30,30,71.29,
27,31,70.93,
29,32,71.48,
29,33,71.43,
29,34,70.01,
31,35,71.06,
31,36,70.91,
32,37,71.8,
31,38,70.36,
29,39,71.0,
30,40,70.69,
29,41,70.76,
28,42,71.97,
26,43,70.97,
31,22,72.38,
28,23,71.04,
28,24,72.22,
27,25,71.89,
26,26,74.53,
19,27,70.95,
25,28,70.41,
21,29,71.6,
27,30,70.39,
26,31,71.52,
28,32,70.21,
26,33,69.48,
26,34,70.22,
26,35,69.93,
24,36,70.02,
25,37,70.23,
25,38,70.57,
23,39,70.56,
24,40,70.84,
24,41,69.99,
22,42,71.04,
27,23,72.85,
32,24,71.81,
32,25,71.13,
30,26,71.11,
27,27,71.95,
25,28,70.63,
25,29,71.0,
24,30,71.11,
18,31,71.98,
21,32,70.71,
24,33,71.05,
24,34,70.96,
25,35,71.22,
24,36,71.01,
21,37,69.97,
23,38,70.4,
24,39,70.65,
19,40,71.67,
24,41,71.03,
22,42,71.19,
27,43,71.61,
22,44,71.4,
25,45,71.08,
29,26,71.12,
26,27,70.42,
28,28,70.68,
26,29,70.63,
23,30,70.96,
26,31,70.73,
27,32,71.02,
24,33,70.72,
23,34,70.99,
27,35,71.18,
27,36,70.86,
27,37,71.51,
24,38,71.26,
20,39,71.08,
25,40,71.27,
26,41,71.65,
26,42,71.3,
28,43,71.29,
28,44,70.92,
28,45,71.09,
32,28,72.15,
31,30,71.47,
31,32,70.94,
30,33,70.47,
31,34,70.83,
32,35,70.63,
33,36,70.4,
31,37,70.78,
30,38,70.48,
29,39,71.12,
32,40,71.96,
22,41,71.1,
18,45,71.14,
31,26,71.67,
32,27,71.73,
32,28,71.63,
35,29,71.2,
31,30,71.55,
34,31,71.74,
28,35,71.34,
27,36,70.86,
22,37,70.81,
24,39,71.05,
27,41,71.14,
30,24,71.29,
23,25,71.27,
22,26,71.83,
29,27,71.24,
24,28,70.32,
29,29,70.4,
28,30,70.51,
27,31,70.53,
25,32,70.69,
25,33,70.83,
23,34,70.87,
24,35,71.71,
23,36,70.86,
25,37,71.95,
31,38,71.17,
33,24,71.3,
25,25,71.53,
24,26,72.66,
23,27,72.07,
23,28,72.15,
17,29,72.16,
25,30,71.95,
22,31,72.56,
26,32,72.82,
25,33,70.7,
21,34,71.95,
22,35,72.68,
22,36,70.81,
25,37,71.83,
21,38,72.82,
24,39,72.39,
20,40,71.21,
30,28,71.84,
31,29,71.44,
35,30,71.24,
29,31,71.81,
30,32,70.95,
31,33,70.83,
29,34,71.21,
30,35,70.92,
29,36,71.31,
20,37,71.38,
25,38,70.47,
24,39,71.24,
19,40,71.8,
25,41,71.6,
25,42,71.15,
25,43,71.35,
34,27,72.04,
32,29,71.27,
30,30,71.17,
30,31,70.54,
31,32,71.3,
30,33,70.57,
28,34,71.08,
30,35,71.39,
30,36,70.14,
28,37,70.36,
28,38,70.76,
29,39,71.2,
28,40,71.45,
32,41,71.17,
31,42,71.22,
22,43,71.35,
25,44,71.96,
27,45,71.25,
25,46,71.87,
31,28,71.83,
30,30,71.25,
29,34,70.74,
30,35,71.19,
18,36,71.54,
22,38,71.89,
25,21,72.84,
20,22,72.98,
25,23,72.91,
26,24,70.83,
33,25,70.61,
25,26,70.47,
27,27,70.99,
24,28,70.92,
27,29,71.28,
30,30,71.2,
27,31,70.54,
29,32,70.74,
29,33,70.5,
27,34,70.15,
27,35,70.48,
29,36,71.57,
28,37,70.34,
23,38,70.27,
25,39,71.37,
24,40,70.4,
24,41,71.19,
27,42,70.76,
27,43,72.04,
28,44,71.11,
25,45,71.86,
23,46,71.29,
16,47,72.1,
33,22,72.36,
31,23,72.38,
34,24,72.81,
28,25,71.42,
29,26,71.48,
28,27,71.49,
28,28,71.9,
28,29,70.84,
26,30,71.04,
25,31,71.15,
25,32,70.82,
25,33,70.7,
22,34,70.33,
23,35,70.68,
25,36,71.66,
21,37,71.67,
29,38,70.79,
26,39,70.36,
25,40,70.88,
27,41,70.76,
28,42,71.25,
23,43,70.94,
26,44,72.23,
23,45,72.89,
23,46,72.71,
30,27,71.78,
24,28,71.6,
30,29,71.65,
35,30,71.78,
27,31,71.07,
35,32,71.63,
25,33,71.07,
28,34,71.66,
29,35,70.61,
33,36,71.1,
31,37,71.51,
26,39,71.6,
21,41,71.56,
21,42,72.8,
22,43,72.73,
29,24,71.26,
27,25,70.49,
28,26,71.07,
26,27,71.12,
26,28,71.17,
28,29,71.04,
29,30,70.96,
25,31,69.82,
25,32,70.31,
24,33,70.27,
20,34,70.29,
22,35,70.51,
22,36,70.43,
22,37,71.89,
23,38,71.69,
25,39,71.46,
25,40,72.11,
22,41,70.81,
24,42,71.17,
26,43,71.06,
23,44,70.66,
23,45,70.81,
23,46,70.91,
25,47,71.6,
20,48,70.67,
23,49,70.52,
30,30,72.24,
29,31,71.92,
27,32,71.79,
32,33,71.74,
21,34,71.79,
29,40,72.14,
28,42,71.07,
30,43,71.47,
25,44,71.06,
22,45,71.12,
28,46,71.07,
22,47,70.64,
25,21,71.56,
28,22,71.82,
30,23,71.4,
26,24,71.14,
26,25,71.58,
26,26,72.36,
27,27,70.41,
27,28,70.1,
24,29,70.42,
22,30,71.19,
21,31,70.13,
22,32,69.71,
19,33,70.42,
15,34,69.94,
15,35,70.83,
18,36,69.71,
15,37,70.93,
17,38,70.56,
16,39,71.14,
19,40,70.37,
