*2010,1/3/2011,,,,
T148, -,Trevor Immelman,71.21,2706,38
T148, -,Marc Leishman,71.21,3774,53
T150, -,Troy Merritt,71.25,4346,61
T150, -,Steve Wheatcroft,71.25,3919,55
152, -,Ryan Palmer,71.26,4062,57
T153, -,Stuart Appleby,71.3,4492,63
T153, -,Brent Delahoussaye,71.3,3066,43
155, -,Roland Thatcher,71.31,3708,52
156, -,Rocco Mediate,71.33,3638,51
T157, -,Martin Flores,71.35,3924,55
T157, -,Scott Verplank,71.35,3068,43
159, -,Jason Dufner,71.38,3712,52
160, -,Angel Cabrera,71.39,2570,36
161, -,Cameron Tringale,71.42,3214,45
162, -,Rory Sabbatini,71.43,3643,51
T163, -,Henrik Bjornstad,71.44,3929,55
T163, -,Brian Stuard,71.44,4072,57
T163, -,Nicholas Thompson,71.44,4358,61
166, -,Bill Lunde,71.45,4144,58
167, -,Brenden Pappas,71.49,3646,51
168, -,Cameron Beckman,71.5,3718,52
169, -,Derek Lamely,71.51,4076,57
170, -,Garth Mulroy,71.54,2933,41
171, -,Y.E. Yang,71.55,2862,40
172, -,Mathias Gronberg,71.6,3222,45
173, -,David Duval,71.61,3652,51
174, -,Mathew Goggin,71.66,4228,59
175, -,Ted Purdy,71.67,4515,63
176, -,Andrew McLardy,71.76,3014,42
177, -,Mark Calcavecchia,71.79,2441,34
T178, -,Steve Lowery,71.83,3807,53
T178, -,Rory McIlroy,71.83,2155,30
180, -,Jeff Gove,71.85,3377,47
181, -,Vance Veazey,71.87,3306,46
182, -,Steve Flesch,71.88,3738,52
183, -,Daniel Chopra,71.93,4172,58
T184, -,Rich Barcelo,72,3672,51
T184, -,David Lutterus,72,3816,53
186, -,Craig Bowden,72.05,2882,40
187, -,Chris Wilson,72.11,3894,54
188, -,Jerod Turner,72.43,2897,40
189, -,Justin Bolli,72.45,3550,49
190, -,Kevin Johnson,72.56,3918,54
191, -,Brad Faxon,72.67,3488,48
192, -,Greg Kraft,72.78,3275,45
*2009,10/18/2009,,,,
1,1,Tiger Woods,69.25,2216,32
2,2,Steve Stricker,69.32,3050,44
3,3,David Toms,69.69,3833,55
4,T9,Jim Furyk,69.78,3140,45
5,5,Kenny Perry,69.79,3280,47
6,6,Jason Day,69.8,2443,35
7,7,Scott Verplank,69.82,3491,50
8,T9,Tim Clark,69.86,3004,43
9,8,Retief Goosen,69.87,2725,39
10,4,Michael Letzig,69.89,3704,53
11,11,Jerry Kelly,69.91,3705,53
12,T12,Steve Marino,70,4200,60
13,T12,John Senden,70.02,4201,60
14,14,Justin Leonard,70.04,3362,48
15,15,Mike Weir,70.06,3293,47
16,18,Charley Hoffman,70.09,3855,55
17,16,Sean O'Hair,70.16,3087,44
18,17,Nick Watney,70.2,3580,51
T19,T28,Greg Chalmers,70.21,3721,53
T19,T19,Camilo Villegas,70.21,2738,39
21,25,Briny Baird,70.22,3792,54
22,T31,Bo Van Pelt,70.24,4144,59
T23,22,Jason Dufner,70.25,3864,55
T23,21,Vaughn Taylor,70.25,4004,57
25,23,Kevin Na,70.26,3724,53
T26,T26,Harrison Frazar,70.28,3795,54
T26,T19,Rocco Mediate,70.28,2811,40
T28,37,Robert Garrigus,70.29,3374,48
T28,T45,Matt Kuchar,70.29,3585,51
30,24,Matt Jones,70.3,2109,30
T31,T26,Anthony Kim,70.31,2953,42
T31,T45,Troy Matteson,70.31,4148,59
33,40,Mark Wilson,70.32,4008,57
T34,T28,Lucas Glover,70.35,3799,54
T34,T28,Zach Johnson,70.35,3377,48
36,33,Scott McCarron,70.36,3729,53
37,T34,Jonathan Byrd,70.37,3448,49
38,T65,Chad Campbell,70.39,3590,51
T39,T34,Bob Estes,70.4,3379,48
T39,T49,J.J. Henry,70.4,3872,55
T39,T34,Lee Janzen,70.4,3309,47
T39,T31,Kevin Sutherland,70.4,3731,53
43,T62,Tag Ridings,70.41,2253,32
44,64,Ryan Moore,70.42,3873,55
T45,39,Dustin Johnson,70.44,3522,50
T45,44,Bill Lunde,70.44,3804,54
T47,41,Sergio Garcia,70.47,2255,32
T47,T49,Brian Gay,70.47,3735,53
T49,T42,Patrick Sheehan,70.48,2044,29
T49,38,Heath Slocum,70.48,4088,58
T49,T42,Boo Weekley,70.48,2960,42
T52,T70,Jason Bohn,70.51,3596,51
T52,T75,Hunter Mahan,70.51,3455,49
T52,T45,Kevin Stadler,70.51,2891,41
T55,T59,Chris Stroud,70.52,3949,56
T55,48,Bubba Watson,70.52,3244,46
T57,T49,Michael Allen,70.53,3033,43
T57,T70,Fredrik Jacobson,70.53,3315,47
59,T59,Jarrod Lyle,70.54,2892,41
T60,T53,Luke Donald,70.55,2822,40
T60,T53,Scott Sterling,70.55,2328,33
62,T70,Chris Riley,70.56,2893,41
T63,T56,Woody Austin,70.58,3529,50
T63,T80,Nathan Green,70.58,4235,60
T63,T56,Geoff Ogilvy,70.58,2682,38
T66,55,Bryce Molder,70.59,2894,41
T66,T59,James Nitties,70.59,3812,54
T66,T49,Jeff Overton,70.59,3600,51
69,T56,Joe Ogilvie,70.6,3883,55
70,69,John Merrick,70.61,3813,54
T71,T65,Richard S. Johnson,70.62,3531,50
T71,T82,John Mallinger,70.62,3743,53
73,T67,Charlie Wi,70.64,3885,55
74,T88,Ben Crane,70.65,3603,51
T75,91,Rich Beem,70.66,3533,50
T75,T67,Bill Haas,70.66,4098,58
T77,79,Stephen Ames,70.67,2968,42
T77,T70,Pat Perez,70.67,3039,43
T79,T75,Robert Allenby,70.68,2827,40
T79,T70,Paul Goydos,70.68,3322,47
T79,T75,Rod Pampling,70.68,3110,44
T79,T62,Aron Price,70.68,3534,50
T83,85,Chris DiMarco,70.7,4030,57
T83,T99,Jeff Klauk,70.7,3959,56
T83,T88,D.A. Points,70.7,4030,57
T86,T80,Phil Mickelson,70.71,2475,35
T86,T92,Greg Owen,70.71,4101,58
T88,103,Spencer Levin,70.72,3324,47
T88,86,Ted Purdy,70.72,4031,57
90,T106,Tom Pernice jr.,70.73,3607,51
91,T92,Tommy Armour III,70.74,2405,34
92,T92,Charles Howell III,70.75,4033,57
T93,T129,Bob Heintz,70.76,2618,37
T93,T109,Scott Piercy,70.76,3821,54
T93,108,Kirk Triplett,70.76,2901,41
96,78,Marc Leishman,70.77,4034,57
97,102,Ryuji Imada,70.78,3539,50
98,T104,Tim Petrovic,70.79,4318,61
T99,84,Mark Calcavecchia,70.82,3187,45
T99,T114,Alex Cejka,70.82,3541,50
T99,T82,Davis Love III,70.82,3612,51
T99,T88,Charles Warren,70.82,2762,39
103,T92,Ian Poulter,70.84,2267,32
T104,T96,Bart Bryant,70.85,2409,34
T104,T96,Y.E. Yang,70.85,3330,47
106,98,Stewart Cink,70.86,2976,42
T107,T99,Kris Blanks,70.87,2764,39
T107,87,Brian Davis,70.87,4323,61
T109,101,Webb Simpson,70.88,4182,59
T109,T116,Jay Williamson,70.88,2906,41
111,T116,Steve Elkington,70.89,3119,44
T112,T116,Cameron Beckman,70.9,3545,50
T112,T125,George McNeill,70.9,3403,48
T112,T121,Johnson Wagner,70.9,3616,51
T115,T116,Daniel Chopra,70.91,3758,53
T115,T109,Brendon de Jonge,70.91,4042,57
T115,T116,Dean Wilson,70.91,3829,54
118,T145,Jeev M. Singh,70.93,1986,28
119,T106,John Rollins,70.94,3689,52
120,131,Matt Weibring,70.95,2909,41
T121,T112,Tommy Gainey,70.97,2200,31
T121,T112,Padraig Harrington,70.97,2768,39
T121,128,D.J. Trahan,70.97,4187,59
124,T109,Cliff Kresge,70.98,3762,53
125,T104,Rory Sabbatini,71,3266,46
T126,T121,Joe Durant,71.02,2912,41
T126,T121,Corey Pavin,71.02,3338,47
128,124,Ernie Els,71.03,2557,36
T129,T125,Jason Gore,71.04,3268,46
T129,T132,Tim Herron,71.04,3765,53
T129,T125,David Mathis,71.04,3765,53
T129,T114,Jimmy Walker,71.04,3197,45
133,134,Glen Day,71.06,3553,50
T134,T129,Jonathan Kaye,71.09,2346,33
T134,T137,Kevin Streelman,71.09,3910,55
T136,T132,Mark Brooks,71.14,2561,36
T136,T137,Steve Flesch,71.14,3486,49
T136,144,Nick O'Hern,71.14,3557,50
139,136,Jeff Maggert,71.15,3771,53
140,T137,Brett Quigley,71.16,3914,55
T141,135,Brad Adamonis,71.17,3345,47
T141,T142,Steve Lowery,71.17,3701,52
143,T142,Chez Reavie,71.19,3702,52
144,T137,Colt Knost,71.21,3347,47
145,141,Vijay Singh,71.24,2921,41
146,T154,Brandt Snedeker,71.29,3636,51
T147,T145,Angel Cabrera,71.31,2282,32
T147,160,Martin Laird,71.31,3423,48
149,T150,Jeff Quinney,71.32,3566,50
T150,148,Ricky Barnes,71.33,3067,43
T150,147,Fred Couples,71.33,2354,33
152,157,Stuart Appleby,71.37,3283,46
153,149,Casey Wittenberg,71.38,3426,48
T154,T154,Ken Duke,71.39,4069,57
T154,152,Ryan Palmer,71.39,3641,51
T154,153,Nicholas Thompson,71.39,4355,61
157,T161,Kent Jones,71.51,3218,45
T158,158,Ben Curtis,71.53,2432,34
T158,165,Mathew Goggin,71.53,3505,49
160,T154,Matt Bettencourt,71.55,4293,60
161,159,Gary Woodland,71.56,2791,39
162,T150,Todd Hamilton,71.58,4080,57
163,T161,James Driscoll,71.6,2506,35
T164,T163,Shaun Micheel,71.63,2292,32
T164,T163,Justin Rose,71.63,2865,40
T166,T172,Brian Bateman,71.76,3229,45
T166,T167,Tom Lehman,71.76,2081,29
168,169,K.J. Choi,71.77,3086,43
169,T167,Will MacKenzie,71.81,3375,47
T170,178,Aaron Baddeley,71.88,2875,40
T170,170,Derek Fathauer,71.88,3450,48
T172,T172,Peter Lonard,71.91,4171,58
T172,T172,Rick Price,71.91,3092,43
174,175,Darron Stiles,71.92,2589,36
175,179,Andres Romero,71.94,2518,35
176,182,Billy Mayfair,72.04,3890,54
177,177,David Duval,72.14,3030,42
178,180,Peter Tomasulo,72.16,3536,49
T179,183,J.B. Holmes,72.25,3468,48
T179,184,Marc Turnesa,72.25,3974,55
181,185,Carl Pettersson,72.31,3760,52
182,186,Parker McLachlin,72.36,3401,47
183,181,Leif Olson,72.61,2759,38
184,187,Adam Scott,72.72,2618,36
185,188,Eric Axley,72.95,4158,57
186,189,Matthew Borchert,73.03,2848,39
187,190,Brad Faxon,73.07,3288,45
188,191,Brendon Todd,73.18,2854,39
189,192,Greg Kraft,73.34,3007,41
*2008,1/4/2009,,,,
1, -,Kenny Perry,69.68,3693,53
2, -,Briny Baird,69.93,4266,61
