Michael Boyd,2007,32,71.9,72.1,21,2
Henrik Stenson,2007,32,72.3,70.93,15,1
Jaco Van Zyl,2007,29,72.41,72.69,21,1
Jose Maria Olazabal,2001,36,70.96,70.77,15,6
Arjun Atwal,2004,32,71.71,71.69,30,5
Robert Damron,1997,25,71.2,70.99,32,11
David Howell,2006,31,71.67,70.89,14,1
Matt Hansen,2006,27,71.77,71.96,25,3
J.L. Lewis,1989,29,72.59,72.65,21,13
Thomas Levet,2003,35,71.55,71.61,26,3
Alex Aragon,2006,28,72.87,72.9,26,2
Hidemichi Tanaka,2002,32,70.72,70.89,31,5
Phillip Price,2005,39,70.84,71.31,25,1
Neal Lancaster,1990,28,71.18,71.05,26,16
Mario Tiziani,2005,35,71.12,71.39,23,3
Hunter Haas,2001,25,72.34,72.68,30,10
Brendan Jones,2005,31,71.34,71.77,28,1
Lee Westwood,2005,33,71.83,70.66,15,1
Jeff Hart,1989,30,71.56,71.72,22,14
Bradley Hughes,1997,31,71.9,71.56,27,11
Hank Kuehne,2003,28,70.92,71.13,0,3
Dennis Paulson,1994,32,71.38,71.31,27,10
Hideto Tanihara,2005,27,72.5,72.6,20,1
Darren Clarke,2003,35,70.85,69.91,16,2
Spike McRoy,1997,30,71.87,71.68,27,9
Craig Parry,1993,28,71.44,70.82,23,11
Grant Waite,1990,26,73.03,72.35,27,16
Dan Olsen,2004,38,72.19,72.36,31,3
Niclas Fasth,2004,33,72.2,72.06,22,1
David Morland IV,2000,32,71.71,72.11,31,10
Hirofumi Miyase,2004,34,72.95,73.09,27,1
Carl Paulson,1995,25,71.89,71.98,21,10
Per-Ulrik Johansson,2001,35,70.91,71.16,29,3
David Sutherland,1991,26,72.33,72.06,28,9
Joel Edwards,1989,28,71.59,71.6,27,17
Akio Sadakata,2003,26,71.77,72.25,29,1
Kenneth Staton,2002,30,71.45,72.01,36,5
Jason Buha,2000,26,71.7,71.84,29,7
Jason Caron,2000,28,72.35,72.46,29,8
Kaname Yokoo,2001,29,71.28,71.57,27,3
Todd Barranger,1994,26,72.4,72.18,26,5
Ty Tryon,2003,19,73.26,73.78,21,2
Phil Tataurangi,1994,23,71.89,71.58,24,10
Brandel Chamblee,1988,26,72.23,71.89,29,14
Robin Freeman,1989,31,72.12,72.18,30,16
Fulton Allem,1988,31,71.82,71.3,22,15
Gabriel Hjertstedt,1997,26,72.0,72.12,23,9
Nolan Henke,1989,25,71.22,71.19,26,13
Katsumasa Miyamoto,1999,27,72.02,71.91,22,1
Stan Utley,1990,29,72.12,71.59,34,11
Jim Benepe,1989,26,73.13,72.54,30,7
