*2010,1/3/2011,,,,,
T107, -,Aaron Baddeley,70.99,6637,36.499,94
T107, -,Matt Every,70.99,4241,18.183,60
T107, -,Tim Petrovic,70.99,7426,28.104,105
T107, -,Andres Romero,70.99,5165,16.975,73
111, -,Jason Dufner,71.02,6196,-17.498,87
112, -,Y.E. Yang,71.03,4982,-9.73,70
T113, -,Blake Adams,71.08,5938,32.399,84
T113, -,Sergio Garcia,71.08,3720,-24.062,52
T113, -,Brett Quigley,71.08,6786,37.824,96
116, -,Bob Estes,71.09,5589,26.792,79
T117, -,John Merrick,71.1,7708,42.122,109
T117, -,Mark Wilson,71.1,6145,40.536,87
119, -,Johnson Wagner,71.11,6028,16.63,85
T120, -,Woody Austin,71.12,6572,42.269,93
T120, -,Josh Teater,71.12,7157,25.648,101
122, -,Kevin Stadler,71.15,6085,33.821,86
T123, -,Trevor Immelman,71.16,3925,-11.106,55
T123, -,Richard S. Johnson,71.16,6361,43.017,90
T123, -,Martin Laird,71.16,6445,30.383,91
T123, -,Garrett Willis,71.16,5797,37.981,82
127, -,Tim Herron,71.17,5602,20.537,79
128, -,Lee Janzen,71.19,5452,29.943,77
129, -,Scott Piercy,71.2,6217,48.211,88
T130, -,George McNeill,71.21,5609,16.318,79
T130, -,Ian Poulter,71.21,3505,-15.695,49
132, -,Alex Cejka,71.22,5776,-7.267,81
133, -,Chris Tidland,71.25,5460,26.608,77
134, -,Robert Garrigus,71.26,5028,31.776,71
135, -,John Mallinger,71.27,5539,20.069,78
136, -,James Nitties,71.28,6516,41.452,92
137, -,Jay Williamson,71.29,5367,51.009,76
138, -,Joe Ogilvie,71.3,7025,33.271,99
139, -,Troy Matteson,71.31,5950,39.992,84
140, -,Rocco Mediate,71.34,5047,18.218,71
T141, -,Kris Blanks,71.37,6464,30.686,91
T141, -,Rory Sabbatini,71.37,5551,15.503,78
143, -,Brian Davis,71.38,7186,22.901,101
144, -,Cameron Beckman,71.4,4832,22.893,68
T145, -,Nathan Green,71.42,6130,12.194,86
T145, -,Cliff Kresge,71.42,3552,18.836,50
147, -,Billy Mayfair,71.43,5536,35.198,78
148, -,Jeff Maggert,71.44,5403,26.797,76
149, -,Troy Merritt,71.49,6108,39.767,86
T150, -,Michael Bradley,71.5,5443,62.329,77
T150, -,Rod Pampling,71.5,5481,24.564,77
T152, -,Paul Goydos,71.53,5565,14.469,78
T152, -,Steve Wheatcroft,71.53,5296,-2.759,74
154, -,Mike Weir,71.57,4091,-11.454,57
T155, -,Matt Bettencourt,71.58,6496,17.331,91
T155, -,Omar Uresti,71.58,5264,32.817,74
157, -,Brian Stuard,71.59,5771,28.166,81
158, -,Cameron Tringale,71.6,3913,24.869,55
159, -,Mathias Gronberg,71.61,4353,15.473,61
160, -,Cameron Percy,71.62,5183,45.435,73
161, -,Skip Kendall,71.64,4126,29.129,58
T162, -,Mathew Goggin,71.67,6061,31.107,85
T162, -,Derek Lamely,71.67,5782,22.967,81
T164, -,David Duval,71.69,5083,6.82,71
T164, -,Bill Lunde,71.69,5638,25.374,79
166, -,John Daly,71.7,4486,30.914,63
167, -,Henrik Bjornstad,71.72,5132,31.991,72
168, -,Rich Barcelo,71.75,5018,4.535,70
169, -,Greg Owen,71.77,4930,22.105,69
T170, -,Ted Purdy,71.82,6161,15.855,86
T170, -,Roland Thatcher,71.82,5149,22.075,72
T170, -,Nicholas Thompson,71.82,6284,35.75,88
173, -,Martin Flores,71.88,5354,37.149,75
T174, -,Brenden Pappas,71.97,4701,48.742,66
T174, -,Roger Tambellini,71.97,5505,36.59,77
176, -,Garth Mulroy,72,3789,26.983,53
177, -,Brent Delahoussaye,72.03,4078,27.847,57
178, -,Steve Flesch,72.04,5586,33.201,78
179, -,David Lutterus,72.17,4966,13.735,69
180, -,Daniel Chopra,72.19,5317,25.39,74
181, -,Steve Lowery,72.2,4815,22.552,67
T182, -,Mark Calcavecchia,72.22,3605,6.082,50
T182, -,Andrew McLardy,72.22,3736,19.267,52
184, -,Craig Bowden,72.23,4036,8.834,56
185, -,Vance Veazey,72.32,4189,5.736,58
186, -,Jeff Gove,72.4,4098,28.859,57
187, -,Jerod Turner,72.6,3895,25.524,54
188, -,Chris Wilson,72.68,4693,31.3,65
T189, -,Justin Bolli,72.88,3982,26.46,55
T189, -,Kevin Johnson,72.88,4494,24.422,62
191, -,Greg Kraft,73.07,3782,17.663,52
192, -,Brad Faxon,73.12,4217,23.73,58
*2009,10/18/2009,,,,,
1,1,Tiger Woods,68.05,4268,-48.78,62
2,2,Steve Stricker,69.29,5491,-17.378,79
3,3,Jim Furyk,69.48,5812,-45.439,83
4,T4,Zach Johnson,69.58,6149,-25.538,88
5,T4,David Toms,69.66,6556,-8.319,94
6,6,Hunter Mahan,69.69,6450,-38.44,92
T7,7,Tim Clark,69.79,5171,-6.816,74
T7,8,Kenny Perry,69.79,6383,-32.207,91
9,9,Steve Marino,69.9,6869,-18.506,98
10,10,Sean O'Hair,69.95,5354,-38.029,76
11,11,Retief Goosen,69.96,5162,-54.826,73
12,12,Lucas Glover,69.97,6542,-34.776,93
13,13,Luke Donald,70.01,5356,-35.103,76
14,15,Scott Verplank,70.04,6159,4.29,88
T15,T16,Sergio Garcia,70.06,4096,-32.725,58
T15,T16,John Senden,70.06,7018,-12.341,100
T17,18,Robert Allenby,70.07,4957,-52.29,70
T17,14,Nick Watney,70.07,6053,-26.896,86
19,20,Ian Poulter,70.1,3967,-41.367,56
20,T23,Matt Kuchar,70.11,5748,1.222,82
21,19,Jerry Kelly,70.12,6301,9.748,90
T22,T21,Jason Day,70.13,4275,3.069,61
T22,T21,Kevin Na,70.13,6389,-7.33,91
24,T23,Angel Cabrera,70.18,3842,-52.536,54
25,25,Ernie Els,70.21,4670,-36.006,66
26,26,Phil Mickelson,70.22,4462,-38.258,63
