69.1,1
69.2,0
69.3,0
69.4,0
69.5,0
69.6,0
69.7,0
69.8,0
69.9,0
70.0,0
70.1,0
70.2,0
70.3,1
70.4,1
70.5,0
70.6,0
70.7,1
70.8,1
70.9,0
71.0,0
71.1,0
71.2,0
71.3,0
71.4,1
71.5,0
71.6,0
71.7,0
71.8,0
71.9,0
72.0,0
72.1,0
72.2,0
72.3,2
72.4,0
72.5,0
72.6,2
72.7,3
72.8,1
72.9,1
73.0,1
73.1,2
73.2,1
73.3,1
73.4,2
73.5,2
73.6,1
73.7,1
73.8,2
73.9,1
74.0,1
74.1,1
74.2,1
74.3,1
74.4,5
74.5,4
74.6,5
74.7,0
74.8,3
74.9,1
75.0,2
75.1,0
75.2,0
75.3,2
75.4,2
75.5,1
75.6,1
75.7,1
75.8,3
75.9,3
76.0,4
76.1,1
76.2,2
76.3,2
76.4,4
76.5,4
76.6,1
76.7,3
76.8,0
76.9,4
77.0,4
77.1,4
77.2,1
77.3,1
77.4,2
77.5,0
77.6,1
77.7,0
77.8,3
77.9,1
78.0,1
78.1,1
78.2,2
78.3,2
78.4,0
78.5,0
78.6,2
78.7,2
78.8,1
78.9,1
79.0,0
79.1,1
79.2,0
79.3,0
79.4,0
79.5,0
79.6,0
79.7,0
79.8,0
79.9,0
80.0,0
80.1,0
80.2,1
