69.2,1
69.3,1
69.4,1
69.5,0
69.6,0
69.7,1
69.8,0
69.9,0
70.0,2
70.1,2
70.2,3
70.3,1
70.4,2
70.5,1
70.6,0
70.7,1
70.8,4
70.9,1
71.0,4
71.1,3
71.2,6
71.3,4
71.4,3
71.5,4
71.6,4
71.7,4
71.8,0
71.9,7
72.0,3
72.1,5
72.2,2
72.3,4
72.4,6
72.5,5
72.6,3
72.7,1
72.8,3
72.9,1
73.0,3
73.1,4
73.2,2
73.3,2
73.4,1
73.5,0
73.6,1
73.7,0
73.8,2
73.9,0
74.0,0
74.1,0
74.2,0
74.3,0
74.4,1
74.5,1
74.6,1
74.7,0
74.8,0
74.9,0
75.0,0
75.1,0
75.2,0
75.3,1
75.4,1
75.5,1
75.6,0
75.7,0
75.8,0
75.9,0
76.0,0
76.1,1
76.2,0
76.3,1
